סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3768 ,פדואל ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2223 ,322 ,789 ,808 ,172 ,103 ,29
3769 ,הר אדר ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,4424 ,245 ,1066 ,1431 ,751 ,378 ,553
3770 ,חשמונאים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3139 ,263 ,592 ,1273 ,285 ,355 ,371
3777 ,סנסנה , , , , , , ,665 ,107 ,275 ,229 ,54 ,0 ,0
3778 ,עץ אפרים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,2550 ,345 ,820 ,936 ,212 ,128 ,109
3779 ,כוכב יעקב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,9746 ,1832 ,3332 ,3561 ,485 ,293 ,243
3780 ,ביתר עילית ,76 ,בית לחם ,11 ,ירושלים ,0 , ,65391 ,12667 ,25260 ,22048 ,3333 ,1209 ,874
3781 ,קדר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1604 ,149 ,424 ,624 ,231 ,118 ,58
3782 ,רותם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,253 ,33 ,118 ,72 ,30 ,0 ,0
3784 ,שמעה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,897 ,194 ,245 ,341 ,59 ,36 ,22
3785 ,משכיות ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,313 ,84 ,135 ,89 ,5 ,0 ,0
3786 ,אבנת ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,232 ,52 ,92 ,85 ,3 ,0 ,0
3787 ,נעלה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2384 ,224 ,759 ,817 ,335 ,112 ,137
3788 ,טלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5227 ,765 ,2197 ,1696 ,453 ,92 ,24
3790 ,נופים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1033 ,138 ,330 ,352 ,82 ,59 ,72
3791 ,צופים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,2529 ,299 ,753 ,955 ,236 ,168 ,118
3793 ,אבני חפץ ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,2201 ,323 ,668 ,838 ,240 ,95 ,37
3794 ,בת עין ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1727 ,310 ,521 ,647 ,104 ,74 ,71
3795 ,רבבה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3039 ,478 ,1257 ,1027 ,211 ,48 ,18
3796 ,כפר האורנים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2437 ,67 ,715 ,786 ,561 ,242 ,66
3797 ,מודיעין עילית ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,81178 ,16650 ,33858 ,25488 ,3364 ,909 ,909
3822 ,רחלים , , , , , , ,946 ,227 ,371 ,323 ,20 ,1 ,4
3823 ,גני מודיעין , , , , , , ,3535 ,428 ,1156 ,1313 ,276 ,172 ,190
3824 ,עמיחי , , , , , , ,243 ,42 ,123 ,60 ,18 ,0 ,0
3825 ,מבואות יריחו , , , , , , ,176 ,42 ,85 ,42 ,5 ,1 ,1
4000 ,חיפה ,31 ,חיפה ,31 ,חיפה ,0 , ,324005 ,20243 ,48530 ,105789 ,38817 ,32832 ,77794
4001 ,בוקעאתא ,29 ,גולן ,21 ,צפת ,0 , ,6790 ,510 ,1556 ,2847 ,907 ,476 ,494
4002 ,אלי-עד ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,495 ,69 ,117 ,184 ,41 ,20 ,64
4003 ,אל-רום ,29 ,גולן ,21 ,צפת ,71 ,גולן ,507 ,39 ,102 ,182 ,66 ,58 ,60
4004 ,כפר חרוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,570 ,54 ,100 ,228 ,54 ,67 ,67
4005 ,חספין ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1528 ,180 ,535 ,518 ,129 ,74 ,92
4006 ,קשת ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,825 ,114 ,290 ,279 ,43 ,47 ,52
4007 ,יונתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,761 ,110 ,241 ,281 ,57 ,41 ,31
