VaccinationDate,age_group,first_dose,second_dose
2021-03-25,60-69,553,1594
2021-03-25,20-29,3037,10827
2021-03-25,0-19,1166,4054
2021-03-25,80-89,153,414
2021-03-26,50-59,389,1168
2021-03-26,80-89,46,141
2021-03-26,60-69,227,550
2021-03-26,90+,18,31
2021-03-26,40-49,617,2152
2021-03-26,70-79,89,252
2021-03-26,30-39,1001,3289
2021-03-26,0-19,407,1440
2021-03-26,20-29,1184,4119
2021-03-27,50-59,136,387
2021-03-27,70-79,28,66
2021-03-27,30-39,389,904
2021-03-27,40-49,242,652
2021-03-27,60-69,80,165
2021-03-27,20-29,593,1510
2021-03-27,0-19,236,502
2021-03-27,90+,<15,<15
2021-03-27,80-89,<15,29
2021-03-28,60-69,71,191
2021-03-28,50-59,181,439
2021-03-28,20-29,721,1521
2021-03-28,40-49,289,706
2021-03-28,90+,<15,<15
2021-03-28,70-79,37,94
2021-03-28,30-39,441,937
2021-03-28,0-19,267,621
2021-03-28,80-89,<15,28
2021-03-29,50-59,702,2868
2021-03-29,0-19,842,3319
2021-03-29,20-29,1838,8723
2021-03-29,80-89,126,426
2021-03-29,90+,51,111
2021-03-29,70-79,233,822
2021-03-29,40-49,1033,4715
2021-03-29,60-69,458,1564
2021-03-29,30-39,1427,7012
2021-03-30,0-19,1026,2599
2021-03-30,20-29,2223,6713
2021-03-30,50-59,738,2129
2021-03-30,40-49,1089,3389
2021-03-30,70-79,284,610
2021-03-30,30-39,1630,5121
2021-03-30,60-69,491,1149
2021-03-30,80-89,160,371
2021-03-30,90+,59,83
2021-03-31,80-89,201,286
2021-03-31,0-19,938,2180
2021-03-31,20-29,2290,5633
2021-03-31,30-39,1702,4731
2021-03-31,70-79,301,536
2021-03-31,90+,59,76
2021-03-31,50-59,806,1815
2021-03-31,40-49,1187,3019
2021-03-31,60-69,504,992
2021-04-01,20-29,2286,5755
2021-04-01,80-89,167,236
2021-04-01,0-19,1041,2199
2021-04-01,50-59,797,1682
2021-04-01,30-39,1651,4475
2021-04-01,60-69,494,891
2021-04-01,40-49,1253,2775
2021-04-01,90+,47,64
2021-04-01,70-79,276,422
2021-04-02,20-29,813,2516
2021-04-02,0-19,307,840
2021-04-02,60-69,130,321
2021-04-02,70-79,58,125
2021-04-02,30-39,664,2104
2021-04-02,90+,<15,<15
2021-04-02,80-89,27,79
2021-04-02,50-59,308,654
2021-04-02,40-49,441,1296
2021-04-03,20-29,482,1076
2021-04-03,30-39,252,598
2021-04-03,70-79,28,49
2021-04-03,90+,<15,<15
2021-04-03,0-19,189,359
2021-04-03,80-89,<15,17
2021-04-03,60-69,62,107
2021-04-03,40-49,181,433
2021-04-03,50-59,130,230
2021-04-04,80-89,164,310
2021-04-04,40-49,1940,3458
2021-04-04,90+,55,69
2021-04-04,20-29,3382,7045
2021-04-04,30-39,2979,5449
2021-04-04,60-69,588,1025
2021-04-04,70-79,327,494
2021-04-04,50-59,1104,1839
2021-04-04,0-19,1195,2812
2021-04-05,30-39,2057,4644
2021-04-05,70-79,331,438
2021-04-05,40-49,1314,2835
2021-04-05,60-69,531,876
2021-04-05,0-19,1322,2770
2021-04-05,80-89,205,243
2021-04-05,90+,58,75
2021-04-05,20-29,2855,6593
2021-04-05,50-59,889,1677
2021-04-06,90+,57,71
2021-04-06,60-69,534,778
2021-04-06,70-79,367,392
2021-04-06,30-39,1887,3921
2021-04-06,40-49,1210,2452
2021-04-06,0-19,1074,2025
2021-04-06,80-89,173,184
2021-04-06,50-59,801,1382
2021-04-06,20-29,2321,5042
