first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-04-12,2020-04-18,50-54,זכר,1819,80.0,0.0
2020-04-12,2020-04-18,50-54,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,50-54,נקבה,2077,71.0,0.0
2020-04-12,2020-04-18,55-59,זכר,1589,62.0,0.0
2020-04-12,2020-04-18,55-59,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,55-59,נקבה,1941,50.0,0.0
2020-04-12,2020-04-18,60-64,זכר,1598,45.0,<15
2020-04-12,2020-04-18,60-64,לא ידוע,<15,<15,0.0
2020-04-12,2020-04-18,60-64,נקבה,1752,45.0,0.0
2020-04-12,2020-04-18,65-69,זכר,1277,44.0,<15
2020-04-12,2020-04-18,65-69,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,65-69,נקבה,1323,33.0,0.0
2020-04-12,2020-04-18,70-74,זכר,1123,33.0,<15
2020-04-12,2020-04-18,70-74,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,70-74,נקבה,1264,38.0,<15
2020-04-12,2020-04-18,75-79,זכר,760,16.0,<15
2020-04-12,2020-04-18,75-79,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,75-79,נקבה,1011,24.0,<15
2020-04-12,2020-04-18,80+,זכר,2580,47.0,18.0
2020-04-12,2020-04-18,80+,לא ידוע,<15,0.0,0.0
2020-04-12,2020-04-18,80+,נקבה,5868,83.0,26.0
2020-04-12,2020-04-18,NULL,זכר,925,37.0,0.0
2020-04-12,2020-04-18,NULL,לא ידוע,394,<15,0.0
2020-04-12,2020-04-18,NULL,נקבה,1106,25.0,0.0
2020-04-19,2020-04-25,0-19,זכר,5154,340.0,0.0
2020-04-19,2020-04-25,0-19,לא ידוע,184,<15,0.0
2020-04-19,2020-04-25,0-19,נקבה,4023,286.0,0.0
2020-04-19,2020-04-25,20-24,זכר,4192,131.0,0.0
