VaccinationDate,age_group,first_dose,second_dose
2021-01-20,90+,154,3649
2021-01-20,30-39,12284,10489
2021-01-20,70-79,1864,33330
2021-01-20,0-19,1871,968
2021-01-20,80-89,835,14751
2021-01-20,20-29,12665,7896
2021-01-20,60-69,3850,39367
2021-01-20,40-49,29124,14544
2021-01-20,50-59,13870,18286
2021-01-21,40-49,25749,18471
2021-01-21,30-39,13223,13163
2021-01-21,60-69,4036,41663
2021-01-21,70-79,2104,34104
2021-01-21,20-29,9697,9587
2021-01-21,90+,225,4281
2021-01-21,50-59,11828,25075
2021-01-21,0-19,1786,1328
2021-01-21,80-89,1000,16123
2021-01-22,40-49,15394,8495
2021-01-22,30-39,7774,5332
2021-01-22,70-79,953,14136
2021-01-22,60-69,2180,18570
2021-01-22,0-19,1099,652
2021-01-22,80-89,504,6524
2021-01-22,90+,123,1610
2021-01-22,50-59,5913,12584
2021-01-22,20-29,3761,2962
2021-01-23,70-79,829,9726
2021-01-23,40-49,14404,7252
2021-01-23,90+,108,1592
2021-01-23,50-59,6342,11140
2021-01-23,60-69,1657,12500
2021-01-23,20-29,3448,2099
2021-01-23,0-19,6488,437
2021-01-23,80-89,399,5051
2021-01-23,30-39,6151,3640
2021-01-24,60-69,3773,33429
2021-01-24,50-59,8950,26412
2021-01-24,90+,236,3218
2021-01-24,40-49,19789,17610
2021-01-24,70-79,2031,25368
2021-01-24,30-39,10348,11388
2021-01-24,0-19,10751,1413
2021-01-24,20-29,12023,8592
2021-01-24,80-89,1011,12835
2021-01-25,30-39,13188,12015
2021-01-25,70-79,2163,23420
2021-01-25,0-19,13128,1432
2021-01-25,20-29,16518,9268
2021-01-25,50-59,9912,28009
2021-01-25,60-69,4037,30493
2021-01-25,90+,262,2766
2021-01-25,40-49,20490,19582
2021-01-25,80-89,1018,12102
2021-01-26,50-59,8758,24814
2021-01-26,20-29,16510,8317
2021-01-26,0-19,12887,1390
2021-01-26,60-69,3641,28528
2021-01-26,30-39,13936,10964
2021-01-26,40-49,19548,17883
2021-01-26,70-79,1996,21038
2021-01-26,80-89,953,10654
2021-01-26,90+,247,2389
2021-01-27,60-69,3377,28442
2021-01-27,20-29,15205,10411
2021-01-27,0-19,14320,1521
2021-01-27,80-89,870,10258
2021-01-27,50-59,8719,23368
2021-01-27,30-39,13440,10879
2021-01-27,70-79,1769,20116
2021-01-27,40-49,19735,17207
2021-01-27,90+,239,2429
2021-01-28,20-29,16174,9976
2021-01-28,0-19,12475,1615
2021-01-28,50-59,7911,27461
