,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,day,num_tot,per_10-19,per_20-29,per_30-39,per_40-49,per_50-59,per_60-69,per_70-79,per_80+
40,2021-01-29,568,2820,4133,6613,11575,6050,3924,2466,242,38149,0.014888987911900969,0.07392067942176185,0.10833835746458927,0.17334661454472025,0.30341555471875653,0.15858869166725503,0.10285983902517501,0.0646412749837109
41,2021-01-30,647,3738,5044,9303,14265,10729,7791,4823,243,56340,0.011483848063279402,0.06634717783699907,0.08952786650878099,0.16512247068421682,0.25319488813397323,0.19043308480822982,0.1382854099861048,0.08560525380092203
42,2021-01-31,1197,8644,6968,14719,19879,11496,8031,4988,244,75922,0.015766181078506074,0.1138536919320021,0.09177840413954079,0.19387002447329232,0.261834514335524,0.1514185611349255,0.10577961590767107,0.06569900686682398
43,2021-02-01,1306,10422,6174,13999,14784,10018,6922,4182,245,67807,0.019260548318129313,0.15370094530746073,0.09105254618386707,0.20645361095366943,0.21803058678041637,0.1477428583851604,0.1020838556340667,0.061675048289752524
44,2021-02-02,1155,9570,6489,15468,12831,8926,5822,3690,246,63951,0.01806070272270008,0.14964582255951497,0.10146831166026046,0.2418726837356925,0.20063798842854091,0.13957561255655493,0.09103845130005184,0.05770042688031455
45,2021-02-03,1258,8637,9004,19413,15071,8913,5540,3371,247,71207,0.017666802418629234,0.12129425476128831,0.12644824243031608,0.2726276910594987,0.21165053994527916,0.1251702781854073,0.07780133974499678,0.047340851314148766
46,2021-02-04,1275,6151,8859,17244,11540,5228,2977,1736,248,55010,0.023177604067773565,0.11181603342813742,0.16104344661678904,0.3134702780742646,0.20978003995459368,0.09503726593436879,0.054117433184126984,0.03155789855816071
47,2021-02-05,751,2954,5813,11179,6508,2860,1541,927,249,32533,0.02308425290533174,0.09080011062896133,0.17868010937242795,0.3436203238731072,0.2000430331663102,0.08791073676331394,0.04736728858470867,0.02849414439845875
48,2021-02-06,3271,2674,4718,10297,6267,2567,1489,911,250,32194,0.10160278309573126,0.08305895505899889,0.14654904636064203,0.3198422065230036,0.19466360185293421,0.07973535438909879,0.04625085418206782,0.028297198226906507
49,2021-02-07,5390,7172,6484,12636,7725,3123,1782,1103,251,45415,0.11868325440522222,0.15792139157592833,0.14277221179284988,0.27823406357409797,0.17009798520971087,0.06876582625371225,0.03923813717070612,0.024287129797580725
50,2021-02-08,6676,10058,7719,12871,8402,3433,1844,1082,252,52085,0.12817509837224247,0.19310742052546656,0.14820005756970334,0.24711529226320142,0.1613132379454136,0.06591149081963876,0.035403667075856064,0.020773735236483876
51,2021-02-09,6629,10392,8825,13738,11509,4063,2137,1229,253,58522,0.1132736406627809,0.17757424555251455,0.15079799047353165,0.2347493250000428,0.19666108468667148,0.06942688218628432,0.036516181942429136,0.02100064932486917
52,2021-02-10,7506,9848,9355,14923,11458,3613,1804,1044,254,59551,0.12604322343435992,0.16537085856402564,0.15709224023826765,0.2505919295644755,0.19240650867451317,0.060670685620615825,0.03029336198715498,0.01753119174866397
53,2021-02-11,6549,9571,12086,12432,7998,2679,1374,760,255,53449,0.12252801733942112,0.1790678964659642,0.22612209765830565,0.2325955583392401,0.1496379726188258,0.050122546717408636,0.02570674848440443,0.014219162189335784
54,2021-02-12,2912,3762,6629,7806,5588,1385,594,347,256,29023,0.10033421765484815,0.12962133475877016,0.2284050579787048,0.26895910130966505,0.19253695338437207,0.047720773163449415,0.020466526540858447,0.011956034864777578
55,2021-02-13,3412,5564,7320,10206,8060,1970,978,520,257,38030,0.0897186431528481,0.1463055482129094,0.19247962130095198,0.2683670785515732,0.2119379436729061,0.05180120955776986,0.025716539567258338,0.013673415720832654
56,2021-02-14,5724,11730,13170,15033,8912,3064,1599,878,258,60110,0.09522542004737557,0.19514223919561766,0.2190983197106807,0.2500914988770435,0.14826152052100122,0.05097321576260635,0.02660123107193458,0.014606554647378712
57,2021-02-15,5973,15051,15151,15618,8748,3128,1713,1018,259,66400,0.08995481926356101,0.22667168671285065,0.22817771080900937,0.23521084333807066,0.13174698793196582,0.047108433727845116,0.025798192767199066,0.015331325298895884
58,2021-02-16,5300,12455,13753,15715,7671,2925,1614,999,260,60432,0.0877018797842696,0.20609941749303357,0.22757810427793584,0.2600443473226032,0.12693606034436455,0.04840150912622426,0.026707704522983235,0.01653097696311044
59,2021-02-17,4365,10757,12404,13380,6701,2776,1597,1058,261,53038,0.08229948337375098,0.20281684825920718,0.23387005538785963,0.25227195590854257,0.12634337642325438,0.05233983180882766,0.03011048681509286,0.01994796183492063
60,2021-02-18,4147,13094,14638,10331,4947,2076,1050,698,262,50981,0.08134403011291579,0.25684078377104397,0.2871265765114206,0.20264412228033107,0.0970361507037845,0.04072105293330436,0.020595908275515207,0.013691375215532967
61,2021-02-19,3204,6176,7976,7099,3374,1174,575,342,263,29920,0.10708556146153557,0.20641711223047557,0.2665775400178551,0.23726604270144852,0.11276737964145475,0.03923796790132421,0.019217914432079573,0.011430481279602112
62,2021-02-20,3878,6870,7118,7323,3428,1389,734,457,264,31197,0.12430682433429278,0.22021348199499519,0.2281629643144652,0.2347341089737045,0.10988236044815772,0.04452351186187021,0.02352790331649585,0.014648844435474935
63,2021-02-21,5959,13455,13380,10361,5409,2462,1348,834,265,53208,0.1119944369057295,0.252875507394964,0.25146594492342017,0.194726356902209,0.10165764544774138,0.04627123739921229,0.025334536155214527,0.015674334683567444
64,2021-02-22,5797,15742,14662,10064,5185,2382,1328,804,266,55964,0.10358444712608382,0.2812879707881338,0.2619898505714406,0.17982989061185228,0.09264884566995768,0.04256307625570669,0.02372954041460054,0.014366378383538278
65,2021-02-23,6398,16574,14610,10628,5537,2522,1331,855,267,58455,0.10945171497571607,0.2835343426082398,0.24993584804551605,0.18181507139135827,0.09472243604572364,0.04314429902606376,0.022769651865063783,0.014626635871246832
66,2021-02-24,5977,17524,16893,10149,5444,2492,1290,734,268,60503,0.09878848981062285,0.28963853027293873,0.2792092953606913,0.16774374821616386,0.08997900929045187,0.04118804025565872,0.02132125679365961,0.012131629834531902
67,2021-02-25,4743,16910,16064,8964,4925,2268,1047,587,269,55508,0.08544714273880392,0.3046407724463787,0.28939972611346115,0.16149023561261613,0.08872594939671291,0.04085897527548119,0.018862145993575313,0.010575052242816341
68,2021-02-26,2916,8752,9342,5839,2947,1190,515,284,270,31785,0.09174138741804581,0.2753500077787164,0.2939122226541097,0.18370300450410476,0.09271669023353259,0.037439043562234056,0.01620261128953827,0.008935032245104599
69,2021-02-27,3529,8781,9891,6900,3550,1449,680,372,271,35152,0.1003925807634295,0.24980086474459462,0.2813780153956025,0.19629039593869752,0.1009899863162864,0.04122098314712648,0.019344560759175986,0.01058261265060804
70,2021-02-28,5654,18241,17583,10546,6047,2964,1514,865,272,63414,0.08916012235639446,0.28764941491032747,0.27727315730323376,0.1663039707057899,0.09535749202142153,0.04674046739730336,0.023874854129391797,0.013640521018443794
71,2021-03-01,5669,18607,17386,10639,6223,3086,1553,936,273,64099,0.08844131732344633,0.29028533981960947,0.2712366807171349,0.16597762833024265,0.09708419786625623,0.048144276814280365,0.024228147081198123,0.014602411891823208
72,2021-03-02,5668,19326,16730,10007,6001,3027,1563,907,274,63229,0.08964241090486288,0.3056508879935392,0.26459377812956175,0.15826598551957707,0.094908981623162,0.04787360229516936,0.024719669767872387,0.014344683608099972
73,2021-03-03,4738,18028,15270,8224,4697,2147,989,536,275,54629,0.08673049111520795,0.33000787121675157,0.27952186562457265,0.15054275199060155,0.08597997399074118,0.03930146990805223,0.018103937465795833,0.00981163850522403
74,2021-03-04,4505,15877,13776,7910,4607,2162,857,416,276,50110,0.08990221510878023,0.31684294545662683,0.27491518653464075,0.15785272397568295,0.09193773696029979,0.0431450808135811,0.017102374772080944,0.00830173617874641
75,2021-03-05,2691,9471,8330,4583,2582,1111,397,196,277,29361,0.09165219165162897,0.32257075701693716,0.2837096828160793,0.15609141372702176,0.08793978403734894,0.03783931063729461,0.013521337824487811,0.00667552194861363
